	Unnamed: 0	Datetime	Tweet ID	Text	Username	Location
48	48	2022-12-13 15:22:43+00:00	1602685452930220038	@kagayakuhoshi__ @tanyakanrl udh cuma bisa pasrah sih itu😭 tp gamau bandung nambah flyover lg tp macet tp kendaraan umum budug	_hanssa	
49	49	2022-12-13 07:19:49+00:00	1602563926960779264	@yusufgunawan @jokowi @KemenPU Ah ini sih sama kayak Bandung. Macet? Flyover atau underpass lah solusinya.	aditya_cholisi	
50	50	2022-12-12 22:21:58+00:00	1602428573775589376	@handokotjung Semalam jam 7 gw lewat jln gazibo Bandung.. jalanan macet Ampe atas flyover pasupati.. tnyata diperempatan lampu merah masih ada mahasiswa demo.... Akhirnya betenya Ampe LV 3 mana kaki lg cedera abis badminton 😭😭🤬🤬	EJat3010	
51	51	2022-12-12 09:55:01+00:00	1602240598408196097	@konstantin_nrk Beda ama Bandung/Jakarta yg juga tiap hari bangun flyover tp tetep macet.	FarrasWM	
52	52	2022-12-11 15:33:35+00:00	1601963414175506432	"@CitBacitbibacit @eckyali @sarimiisitiga @txtdaribandung Gw ninggalin bandung 2016, baru balik lagi tahun ini. Ga ada perubahan sama sekali, cuma nambah taman sm flyover doang. Macet msh sama, apalagi di pasteur.
Coba bandingin sama surabaya, semarang, solo, atau jogja. Bandung udah ketinggalan jauh. Sadar kalian teh atuh 😭"	logijustplayit	
53	53	2022-12-11 15:32:23+00:00	1601963113477115904	Nek numpak iki kek naik kuda, udahnya di jadwal jam 20.00, berangkat 20.30an dari atrium senen, okelah mungkin kerna hujan dan macet di jkt. Nyampe Bandung sekitar jam 02.00 dini hari. Parah bgt drivernya nyasar malah munggah flyover menuju ancol. https://t.co/cQ0HIRL1k1	nuresch	Pancoran
54	54	2022-12-06 11:32:21+00:00	1600090765539123201	@rasjawa @Outstandjing @kozirama @karimnas_ Hese euy. Moal bisa gancang da jalan Bandung mah laleutik. Komo ti daerah pemukiman jeung daerah kabupaten mah. Ditambah wargana teu sarabaran nyokot 2 jalur. Rek nyieun flyover ge da moal langsung jadi saminggu. Can oge macet pas nyieuna. Pasti ngareluh oge	dodysdaily	
55	55	2022-12-06 04:05:11+00:00	1599978234644672512	"@tf_bandung Di saat pemerintah di belahan dunia lain membatasi kendaraan agar tidak macet, pemerintah di kota ini justru membangun flyover untuk mengatasi kemacetan

padahal mah sarua keneh macetna"	AsakaKuramoto	
56	56	2022-12-06 02:13:26+00:00	1599950109227511808	Bandung dan sekitarnya ini udah gak ketolong asli. Transport massal jg gak ada yg efektif. Tiap macet solusinya flyover. Ckckck	lordkuyang	
57	57	2022-12-01 12:32:54+00:00	1598294065824813056	@PRFMnews Bandung macet krn ga ada transportasi publik yg aman dan nyaman jdnya pada pake kendaraan pribadi. Tranportasi umum yg ada drdulu paling angkot, tp justru mereka jd salah satu penyebab macet jg. Jd pembangunan flyover bukan solusi!	ArdiPramudito	
